fips,value
5057,0.637325836
5059,0.519544993
5061,0.588834438
5063,0.683381924
5065,0.668276495
5067,0.712913036
5069,0.554925679
5071,0.621453202
5073,0.554925679
5075,0.537432386
5077,0.482462274
5079,0.537432386
5081,0.572051729
5083,0.554925679
5085,0.652928825
5087,0.652928825
5089,0.621453202
5091,0.554925679
5093,0.501233137
5095,0.637325836
5099,0.605295189
5101,0.668276495
5103,0.588834438
5105,0.572051729
5107,0.482462274
5109,0.572051729
5111,0.683381924
5113,0.605295189
5115,0.501233137
5117,0.537432386
5119,0.683381924
5121,0.588834438
5123,0.572051729
5125,0.572051729
5127,0.572051729
5129,0.572051729
5131,0.537432386
5133,0.482462274
5135,0.605295189
5137,0.652928825
5139,0.554925679
5141,0.637325836
5143,0.501233137
5145,0.652928825
5147,0.621453202
5149,0.519544993
6001,0.637325836
6003,0.501233137
6005,0.572051729
6007,0.668276495
6009,0.588834438
6011,0.572051729
6013,0.605295189
6015,0.588834438
6017,0.588834438
6019,0.554925679
6021,0.572051729
6023,0.668276495
6025,0.537432386
6027,0.501233137
6029,0.8233425
6031,0.588834438
6033,0.652928825
6035,0.554925679
6037,1
6039,0.621453202
6041,0.652928825
6043,0.554925679
6045,0.668276495
6047,0.554925679
6049,0.554925679
6051,0.46319282
6053,0.683381924
6055,0.6982571
6057,0.554925679
6059,0.8233425
6061,0.637325836
6063,0.588834438
6065,1
6067,0.605295189
6069,0.537432386
6071,1
6073,0.948002581
6075,0.443379043
6077,0.668276495
6079,0.652928825
6081,0.605295189
6083,0.796763419
6085,0.621453202
6087,0.727359887
6089,0.810130844
6091,0.519544993
6093,0.572051729
6095,0.683381924
6097,0.652928825
6099,0.554925679
6101,0.572051729
6103,0.652928825
6105,0.652928825
6107,0.588834438
6109,0.554925679
6111,0.899639911
6113,0.572051729
6115,0.637325836
8001,0.401895782
8003,0.283342437
8005,0.380088658
8007,0.283342437
8009,0.357455826
8011,0.333886264
8013,0.46319282
8014,0.255956298
8015,0.226763411
8017,0.309241069
8019,0.333886264
8021,0.283342437
8023,0.333886264
8025,0.401895782
8027,0.380088658
8029,0.333886264
8031,0.380088658
8033,0.309241069
8035,0.401895782
8037,0.283342437
8039,0.401895782
8041,0.537432386
8043,0.46319282
8045,0.357455826
8047,0.309241069
8049,0.255956298
8051,0.333886264
8053,0.309241069
8055,0.333886264
8057,0.255956298
8059,0.422967629
8061,0.357455826
8063,0.255956298
8065,0.226763411
8067,0.357455826
8069,0.652928825
8071,0.422967629
8073,0.333886264
8075,0.380088658
8077,0.283342437
8079,0.309241069
8081,0.255956298
8083,0.309241069
8085,0.333886264
8087,0.401895782
8089,0.333886264
8091,0.309241069
8093,0.401895782
8095,0.255956298
8097,0.255956298
8099,0.309241069
8101,0.482462274
8103,0.226763411
8105,0.333886264
8107,0.255956298
8109,0.333886264
8111,0.255956298
8113,0.333886264
8115,0.333886264
8117,0.255956298
8119,0.380088658
8121,0.401895782
8123,0.482462274
8125,0.283342437
9001,0.637325836
9003,0.637325836
9005,0.621453202
9007,0.588834438
9009,0.668276495
9011,0.605295189
9013,0.621453202
9015,0.621453202
10001,0.422967629
10003,0.422967629
10005,0.482462274
11001,0.519544993
12001,0.554925679
12003,0.637325836
12005,0.783234102
12007,0.554925679
12009,0.741607033
12011,0.755663164
12013,0.6982571
12015,0.712913036
12017,0.605295189
12019,0.621453202
12021,0.849321121
12023,0.588834438
12027,0.668276495
12029,0.683381924
12031,0.652928825
12033,0.712913036
12035,0.637325836
12037,0.727359887
12039,0.621453202
12041,0.572051729
12043,0.6982571
12045,0.769536351
12047,0.605295189
12049,0.652928825
12051,0.712913036
12053,0.621453202
12055,0.6982571
12057,0.741607033
12059,0.683381924
12061,0.652928825
12063,0.605295189
12065,0.605295189
12067,0.554925679
12069,0.637325836
12071,0.959815222
12073,0.255956298
12075,0.668276495
12077,0.652928825
12079,0.519544993
12081,0.769536351
12083,0.605295189
12085,0.741607033
12086,0.769536351
12087,0.810130844
12089,0.637325836
12091,0.727359887
12093,0.652928825
12095,0.668276495
12097,0.652928825
12099,0.741607033
12101,0.6982571
12103,0.712913036
12105,0.727359887
12107,0.637325836
12109,0.572051729
12111,0.6982571
12113,0.727359887
12115,0.769536351
12117,0.652928825
12119,0.554925679
12121,0.621453202
12123,0.605295189
12125,0.572051729
12127,0.727359887
12129,0.712913036
12131,0.727359887
12133,0.6982571
13001,0.401895782
13003,0.401895782
13005,0.401895782
13007,0.443379043
13009,0.380088658
13011,0.443379043
13013,0.422967629
13015,0.519544993
