fips,Communication,Economy,Education,Food and Water,Government,Healthcare Delivery and Public Health Services,Housing,Nurturing and Care,Population Well being,Transportation,Engineered Systems,Natural Systems,Preparedness,Deprivation,Inequality,Vulnerability,Social Cohesion
18061,0.476390088,0.474780846,0.500222134,0.46376715,0.340724568,0.508095928,0.49304217,0.492514133,0.529019519,0.25169237,0.494580852,0.580287471,0.537432386,0.539695627,0.64724121,0.528663247,0.476215442
18063,0.641530679,0.572124078,0.509437951,0.459723826,0.282953829,0.570420516,0.394364598,0.451775308,0.619930746,0.321776077,0.638857477,0.587650375,0.422967629,0.668438362,0.751651543,0.560654356,0.437046028
18065,0.476390088,0.445082898,0.481093687,0.520537447,0.420208239,0.491391408,0.466288639,0.580585399,0.462305606,0.418386877,0.523251651,0.56610911,0.519544993,0.432222753,0.617819552,0.444349483,0.504287695
18067,0.476390088,0.519782071,0.519013316,0.507035547,0.497875924,0.520443809,0.571951614,0.512611816,0.483132775,0.418386877,0.559056358,0.584118709,0.443379043,0.443779453,0.528142447,0.49614232,0.490140601
18069,0.476390088,0.571168045,0.471631939,0.486843482,0.363518788,0.466158868,0.49843119,0.558488976,0.500631447,0.476649289,0.551559279,0.573105235,0.46319282,0.544005565,0.634577315,0.524570991,0.488549598
18071,0.476390088,0.570489146,0.511349122,0.52646976,0.38372898,0.477978014,0.505181409,0.478188473,0.436502665,0.370998718,0.536555882,0.575722172,0.501233137,0.506599629,0.651480941,0.512686079,0.512804438
18073,0.641530679,0.55069619,0.43345163,0.458326465,0.395582821,0.497690778,0.449588941,0.444824566,0.520164023,0.527707227,0.528022734,0.607288867,0.501233137,0.557549776,0.806059296,0.515807452,0.464257729
18075,0.476390088,0.506587947,0.474832493,0.433926687,0.394112768,0.46275503,0.524280294,0.532948574,0.472468507,0.418386877,0.507690099,0.56135123,0.46319282,0.480839898,0.711833103,0.47177974,0.48947569
18077,0.311858224,0.494320639,0.453473945,0.547013563,0.47626076,0.501931622,0.491941337,0.583682363,0.412236335,0.542497268,0.525873772,0.563092238,0.588834438,0.514495298,0.528142447,0.487829044,0.489964711
18079,0.476390088,0.418632425,0.439647337,0.502778622,0.369058062,0.421357545,0.494432349,0.336563345,0.40492445,0.306918414,0.448543076,0.56848873,0.501233137,0.441984356,0.778662561,0.518957954,0.456774307
